Fraction_Size	Depth	Lakes_names	Assembly	 contigs (>= 0 bp)	 contigs (>= 1000 bp)	 contigs (>= 5000 bp)	 contigs (>= 10000 bp)	 contigs (>= 25000 bp)	 contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	 contigs	Largest contig	Total length	N50	N90	auN	L50	L90	 N's per 100 kbp
S	E	RIMV	RIMVE-SM-14mar22.megahit.nv.contigs	2840863	424402	30771	10303	2507	747	2236464743	1070486712	373989291	235503368	120664836	61180314	1344305	395229	1693827563	1430	592	7670.5	235010	1032403	0.00
S	E	RIMV	RIMVE-SM-15mar21.megahit.nv.contigs	4901468	660365	49521	16361	3616	933	3587384538	1669626610	580473596	355861629	168307270	76713978	2016337	801408	2593955589	1482	599	7428.9	349611	1541524	0.00
S	E	RIMV	RIMVE-SM-16may22.megahit.nv.contigs	3635040	469085	32463	9564	1579	331	2519293194	1114732651	338019363	183833963	68594857	27101103	1450648	386516	1781641857	1381	591	5233.3	276609	1122488	0.00
S	E	RIMV	RIMVE-SM-16sep21.megahit.nv.contigs	3051690	396344	29969	9629	1971	511	2176244673	997333243	339829488	202340423	90506090	41702601	1220599	369063	1555894170	1478	593	6625.5	213169	934589	0.00
S	E	RIMV	RIMVE-SM-18jul22.megahit.nv.contigs	2833847	392864	24810	7951	1571	372	2078069690	923916150	280437079	166648796	73373369	33021968	1287511	655334	1529400395	1296	584	6510.3	251957	1004227	0.00
S	E	RIMV	RIMVE-SM-18may20.megahit.nv.contigs	5967989	726409	41820	12495	2372	516	3991827929	1627194024	446411145	248741004	100891450	39313882	2435360	277486	2781706505	1217	577	4527.7	511277	1917283	0.00
S	E	RIMV	RIMVE-SM-19jul21.megahit.nv.contigs	3129890	412080	29529	9205	1851	462	2225471905	1013374749	330394667	193651094	86446796	39232263	1267373	558472	1593870836	1437	593	6709.0	229308	974415	0.00
S	E	RIMV	RIMVE-SM-20jul20.megahit.nv.contigs	4407025	550293	29771	8341	1493	347	2978799617	1215059241	308290490	165005333	65702813	27247079	1821800	496085	2078110580	1217	581	4411.0	390038	1435826	0.00
S	E	RIMV	RIMVE-SM-21sep20.megahit.nv.contigs	3588758	482191	33492	10577	1939	370	2570617912	1155001847	363007559	208231754	82391359	29630753	1496792	334754	1846807161	1376	594	5409.4	282722	1157369	0.00
S	E	RIMV	RIMVE-SM-22nov21.megahit.nv.contigs	3055388	416866	31265	10371	2319	647	2253513027	1057118567	369465837	228192383	110252996	53864093	1280917	326503	1643149211	1484	595	7406.4	220715	979112	0.00
S	E	RIMV	RIMVE-SM-25apr22.megahit.nv.contigs	3792584	512900	31151	8418	1372	296	2659008296	1165895250	313612827	160882656	60020777	23862402	1600889	267640	1904833596	1316	588	4501.4	325395	1249006	0.00
S	E	RIMV	RIMVE-SM-26apr21.megahit.nv.contigs	3588257	423587	27216	7694	1404	329	2418219277	982853482	283801841	152567415	61082131	24981898	1463924	401856	1683577592	1231	577	4649.8	295800	1150205	0.00
S	E	RIMV	RIMVE-SM-27apr20.megahit.nv.contigs	3938167	513940	32070	9729	1795	386	2712353104	1196141208	344241406	193485693	78003330	30543007	1574592	337924	1915180365	1366	589	5078.0	307950	1221039	0.00
S	E	RIMV	RIMVE-SM-27jun22.megahit.nv.contigs	2340280	367802	24962	7777	1646	401	1816359767	898012504	279309913	163910867	74059587	32516628	1066302	540944	1373541672	1510	600	6426.3	193469	815382	0.00
S	E	RIMV	RIMVE-SM-28jun21.megahit.nv.contigs	3284235	407339	26811	8000	1395	288	2205841156	957963970	283299232	157194166	61467379	23970891	1248918	377434	1530570469	1372	593	5203.4	241239	967325	0.00
S	E	RIMV	RIMVE-SM-29jun20.megahit.nv.contigs	5183906	615537	36901	10694	1621	284	3372087053	1386504156	374972013	198639598	66582031	22568331	1929457	336330	2282676263	1289	589	4274.0	398173	1508122	0.00
S	E	RIMV	RIMVE-SM-30aug21.megahit.nv.contigs	3257684	439234	30290	9037	1710	407	2329116799	1052555037	325439952	181852311	75657615	32006748	1361282	340617	1678888075	1389	592	5496.5	256482	1052194	0.00
S	E	RIMV	RIMVE-SM-31aug20.megahit.nv.contigs	3279787	460254	29679	9047	1746	451	2417007095	1084474118	330348414	191223103	84642783	40564378	1470420	337071	1771334653	1320	589	6167.4	285845	1143439	0.00
L	H	RIMV	RIMVH-LM-02nov20.megahit.nv.contigs	1953431	333012	30004	10841	2833	905	1733815900	952122617	400195698	270076152	151069168	85063515	942068	555308	1367272659	1873	618	13315.4	130428	695504	0.00
L	H	RIMV	RIMVH-LM-08jun20.megahit.nv.contigs	3065584	356674	25019	8828	2742	1029	2200609954	941456217	357729078	248621952	157896009	98822166	1302429	555474	1577997213	1315	580	12104.0	222522	1008996	0.00
L	H	RIMV	RIMVH-LM-10aug20.megahit.nv.contigs	2944332	409824	31253	11346	2878	831	2268697804	1076454633	408348356	273189379	147083988	77203316	1305817	521740	1685735087	1480	596	10440.6	214717	996495	0.00
L	H	RIMV	RIMVH-LM-12oct20.megahit.nv.contigs	2783510	436911	33710	12607	3389	1041	2289138312	1175809291	454209761	311268393	172979979	93378321	1287962	610916	1757266931	1640	609	11118.4	199776	968992	0.00
L	H	RIMV	RIMVH-LM-15mar21.megahit.nv.contigs	4272052	462809	21364	6373	1593	447	2787282193	979321374	245760725	145706348	75553661	36213721	1849490	283979	1916888665	1022	567	4581.1	442151	1489150	0.00
L	H	RIMV	RIMVH-LM-18may20.megahit.nv.contigs	3661264	426135	29427	9406	2382	771	2570220218	1050949944	362385768	227302746	125014520	69368993	1594038	436653	1836233362	1202	575	8033.1	304441	1251016	0.00
L	H	RIMV	RIMVH-LM-20jul20.megahit.nv.contigs	3569039	511454	31166	10489	2478	725	2691219516	1218937588	381610643	242424878	123738192	63738743	1660104	669469	1999889685	1314	588	7521.6	318858	1290804	0.00
L	H	RIMV	RIMVH-LM-21sep20.megahit.nv.contigs	3049866	425617	33587	12224	3265	1003	2383491511	1146942774	443587449	299593938	165954056	88868892	1358082	546918	1776917816	1547	594	10433.6	213950	1031311	0.00
L	H	RIMV	RIMVH-LM-27apr20.megahit.nv.contigs	3008967	383290	27080	9597	2762	974	2250108822	988921610	369189201	250720233	149302609	87879347	1371091	433782	1652023155	1305	576	10063.3	239440	1063252	0.00
L	H	RIMV	RIMVH-LM-29jun20.megahit.nv.contigs	2413512	364093	25686	9118	2741	964	1951754314	958084177	357358970	245885852	150423801	88949931	1143642	653212	1488669496	1502	598	11514.0	186764	871010	0.00
L	H	RIMV	RIMVH-LM-31aug20.megahit.nv.contigs	4362881	622307	51226	17965	5129	1893	3489414033	1734376041	704136939	479177463	288588805	177794195	1943337	639721	2631544176	1641	602	13121.3	287532	1462581	0.00
S	H	RIMV	RIMVH-SM-01nov21.megahit.nv.contigs	2529863	400113	35658	13062	3220	898	2112079413	1122093801	457573762	303666794	158050687	79377400	1139092	894109	1625727465	1817	615	10996.4	163881	845433	0.00
S	H	RIMV	RIMVH-SM-04apr22.megahit.nv.contigs	2720232	403881	28449	9067	2012	526	2100260521	994719849	328817758	198199209	95491559	44990063	1260880	344069	1575288042	1416	590	7033.8	227763	970556	0.00
S	H	RIMV	RIMVH-SM-06apr21.megahit.nv.contigs	2842630	419526	32707	10472	2335	666	2214035881	1076585402	382157367	231702447	112609433	56322046	1291735	434721	1667818352	1506	596	7745.5	218539	985818	0.00
S	H	RIMV	RIMVH-SM-06jun22.megahit.nv.contigs	2339754	395058	35583	12998	3498	1114	2053695963	1136853034	477214236	324516342	183091215	101376854	1102335	544008	1618308896	1923	617	12977.8	150775	810940	0.00
S	H	RIMV	RIMVH-SM-07jun21.megahit.nv.contigs	2669377	408112	37059	12547	3218	1133	2188431966	1161124999	479808142	313660282	175883658	104389403	1155588	517384	1669921680	1875	615	12324.5	162094	854040	0.00
S	H	RIMV	RIMVH-SM-08jun20.megahit.nv.contigs	3644813	526206	44275	16904	4954	1690	2913101780	1493525513	629238105	443680117	264735096	153103617	1569566	587646	2202496415	1743	608	13370.1	220814	1169424	0.00
